                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78815,                0.62571,                 1.0616,                0.90737,                 0.7517,                0.81787,                0.49867,                 1.3259,                0.75305,                 1.4212,               0.003268,               0.003268,               0.003268
                     36,                0.78539,                0.61789,                 1.0596,                0.89621,                0.74661,                0.81238,                0.50587,                 1.3211,                0.74239,                 1.4165,                0.00307,                0.00307,                0.00307
                     37,                0.77563,                0.60648,                 1.0535,                0.91143,                0.75726,                0.82255,                0.50711,                  1.307,                0.73229,                 1.4142,               0.002872,               0.002872,               0.002872
                     38,                0.76461,                0.59267,                 1.0496,                0.87629,                0.75351,                0.81855,                0.51518,                 1.2989,                0.75947,                 1.3971,               0.002674,               0.002674,               0.002674
                     39,                0.75279,                0.58804,                 1.0479,                0.93485,                0.73344,                0.82561,                0.51373,                 1.3086,                0.73885,                 1.4249,               0.002476,               0.002476,               0.002476
                     40,                0.76433,                0.52549,                 1.0481,                0.91328,                0.75317,                0.82248,                0.51842,                 1.2758,                0.70218,                 1.3561,               0.002278,               0.002278,               0.002278
                     41,                0.74078,                0.49941,                 1.0302,                0.91795,                0.74773,                0.81984,                0.52227,                 1.2636,                0.72361,                  1.359,                0.00208,                0.00208,                0.00208
                     42,                0.73255,                0.48725,                 1.0253,                0.89756,                0.75546,                0.82355,                0.54513,                 1.2165,                0.69748,                 1.3313,               0.001882,               0.001882,               0.001882
                     43,                0.72027,                0.47833,                 1.0185,                0.91911,                0.74816,                0.82917,                0.53703,                 1.2222,                0.68799,                 1.3511,               0.001684,               0.001684,               0.001684
                     44,                0.70199,                0.46473,                  1.005,                0.89078,                0.76835,                0.82494,                 0.5472,                  1.198,                0.68324,                 1.3403,               0.001486,               0.001486,               0.001486
                     45,                0.69485,                0.46327,                 1.0051,                 0.9086,                0.76291,                0.82835,                0.54746,                 1.2174,                0.67615,                 1.3426,               0.001288,               0.001288,               0.001288
                     46,                 0.6874,                0.45368,                0.99916,                0.93794,                0.74639,                0.82515,                0.55155,                 1.1956,                0.66136,                 1.3346,                0.00109,                0.00109,                0.00109
                     47,                0.67769,                0.44731,                0.99574,                0.91754,                0.76065,                0.82681,                 0.5497,                 1.2154,                 0.6757,                 1.3353,               0.000892,               0.000892,               0.000892
                     48,                0.66479,                 0.4346,                0.98751,                0.91937,                0.75582,                0.82707,                0.55321,                 1.1951,                0.67925,                 1.3229,               0.000694,               0.000694,               0.000694
                     49,                0.65892,                0.43109,                0.98608,                0.92631,                0.75294,                0.82888,                0.55202,                   1.19,                0.67167,                 1.3237,               0.000496,               0.000496,               0.000496
